cod_ibge,municipios,cod_ra,reg_administrativa,reg_metropolitanas,cod_ibge6,pop2020,porte_pop2020,cod_drs,drs
3500000,Estado sem especificação,Estado sem especificação,Estado sem especificação,Estado sem especificação,350000,Estado sem especificação,Estado sem especificação,Estado sem especificação,Estado sem especificação
3500105,Adamantina,691,RA de Presidente Prudente,Demais municípios,350010,33894,Mais de 20 mil até 50 mil,5,Marília
3500204,Adolfo,689,RA de São José do Rio Preto,RM São José do Rio Preto,350020,3447,Até 5 mil,15,São José do Rio Preto
3500303,Aguaí,686,RA de Campinas,Demais municípios,350030,35608,Mais de 20 mil até 50 mil,14,São João da Boa Vista
3500402,Águas da Prata,686,RA de Campinas,Demais municípios,350040,7797,Mais de 5 mil até 10 mil,14,São João da Boa Vista
3500501,Águas de Lindóia,686,RA de Campinas,Demais municípios,350050,18374,Mais de 10 mil até 20 mil,3,Campinas
3500550,Águas de Santa Bárbara,685,RA de Sorocaba,Demais municípios,350055,5931,Mais de 5 mil até 10 mil,12,Bauru
3500600,Águas de São Pedro,686,RA de Campinas,RM de Piracicaba,350060,3122,Até 5 mil,11,Piracicaba
3500709,Agudos,688,RA de Bauru,Demais municípios,350070,36134,Mais de 20 mil até 50 mil,12,Bauru
3500758,Alambari,685,RA de Sorocaba,RM de Sorocaba,350075,5779,Mais de 5 mil até 10 mil,6,Sorocaba
3500808,Alfredo Marcondes,691,RA de Presidente Prudente,Demais municípios,350080,3927,Até 5 mil,2,Presidente Prudente
3500907,Altair,694,RA de Barretos,Demais municípios,350090,4036,Até 5 mil,16,Barretos
3501004,Altinópolis,687,RA de Ribeirão Preto,RM de Ribeirao Preto,350100,15553,Mais de 10 mil até 20 mil,1,Ribeirão Preto
3501103,Alto Alegre,690,RA de Araçatuba,Demais municípios,350110,4017,Até 5 mil,7,Araçatuba
3501152,Alumínio,685,RA de Sorocaba,RM de Sorocaba,350115,17972,Mais de 10 mil até 20 mil,6,Sorocaba
3501202,Álvares Florence,689,RA de São José do Rio Preto,Demais municípios,350120,3621,Até 5 mil,15,São José do Rio Preto
3501301,Álvares Machado,691,RA de Presidente Prudente,Demais municípios,350130,23789,Mais de 20 mil até 50 mil,2,Presidente Prudente
3501400,Álvaro de Carvalho,692,RA de Marília,Demais municípios,350140,5044,Mais de 5 mil até 10 mil,5,Marília
3501509,Alvinlândia,692,RA de Marília,Demais municípios,350150,3176,Até 5 mil,5,Marília
3501608,Americana,686,RA de Campinas,RM de Campinas,350160,233458,Mais de 200 mil até 500 mil,3,Campinas
3501707,Américo Brasiliense,693,RA Central,Demais municípios,350170,40243,Mais de 20 mil até 50 mil,8,Araraquara
3501806,Américo de Campos,689,RA de São José do Rio Preto,Demais municípios,350180,5736,Mais de 5 mil até 10 mil,15,São José do Rio Preto
3501905,Amparo,686,RA de Campinas,Demais municípios,350190,69639,Mais de 50 mil até 100 mil,3,Campinas
3502002,Analândia,686,RA de Campinas,RM de Piracicaba,350200,4850,Até 5 mil,11,Piracicaba
3502101,Andradina,690,RA de Araçatuba,Demais municípios,350210,56054,Mais de 50 mil até 100 mil,7,Araçatuba
3502200,Angatuba,696,RA de Itapeva,Demais municípios,350220,24501,Mais de 20 mil até 50 mil,6,Sorocaba
3502309,Anhembi,685,RA de Sorocaba,Demais municípios,350230,6672,Mais de 5 mil até 10 mil,12,Bauru
3502408,Anhumas,691,RA de Presidente Prudente,Demais municípios,350240,3963,Até 5 mil,2,Presidente Prudente
3502507,Aparecida,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,350250,35709,Mais de 20 mil até 50 mil,17,Taubaté
3502606,Aparecida d'Oeste,689,RA de São José do Rio Preto,Demais municípios,350260,4132,Até 5 mil,15,São José do Rio Preto
3502705,Apiaí,696,RA de Itapeva,Demais municípios,350270,24666,Mais de 20 mil até 50 mil,6,Sorocaba
3502754,Araçariguama,685,RA de Sorocaba,RM de Sorocaba,350275,20980,Mais de 20 mil até 50 mil,6,Sorocaba
3502804,Araçatuba,690,RA de Araçatuba,Demais municípios,350280,190469,Mais de 100 mil até 200 mil,7,Araçatuba
3502903,Araçoiaba da Serra,685,RA de Sorocaba,RM de Sorocaba,350290,32390,Mais de 20 mil até 50 mil,6,Sorocaba
3503000,Aramina,695,RA de Franca,Demais municípios,350300,5496,Mais de 5 mil até 10 mil,4,Franca
3503109,Arandu,696,RA de Itapeva,Demais municípios,350310,6165,Mais de 5 mil até 10 mil,12,Bauru
3503158,Arapeí,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,350315,2471,Até 5 mil,17,Taubaté
3503208,Araraquara,693,RA Central,Demais municípios,350320,227618,Mais de 200 mil até 500 mil,8,Araraquara
3503307,Araras,686,RA de Campinas,RM de Piracicaba,350330,131057,Mais de 100 mil até 200 mil,11,Piracicaba
3503356,Arco Íris,692,RA de Marília,Demais municípios,350335,1816,Até 5 mil,5,Marília
3503406,Arealva,688,RA de Bauru,Demais municípios,350340,8196,Mais de 5 mil até 10 mil,12,Bauru
3503505,Areias,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,350350,3843,Até 5 mil,17,Taubaté
3503604,Areiópolis,685,RA de Sorocaba,Demais municípios,350360,10857,Mais de 10 mil até 20 mil,12,Bauru
3503703,Ariranha,689,RA de São José do Rio Preto,Demais municípios,350370,9320,Mais de 5 mil até 10 mil,15,São José do Rio Preto
3503802,Artur Nogueira,686,RA de Campinas,RM de Campinas,350380,52609,Mais de 50 mil até 100 mil,3,Campinas
3503901,Arujá,681,RM  de São Paulo,RM de Sao Paulo,350390,89744,Mais de 50 mil até 100 mil,10,Grande São Paulo
3503950,Aspásia,689,RA de São José do Rio Preto,Demais municípios,350395,1765,Até 5 mil,15,São José do Rio Preto
3504008,Assis,692,RA de Marília,Demais municípios,350400,101381,Mais de 100 mil até 200 mil,5,Marília
3504107,Atibaia,686,RA de Campinas,Demais municípios,350410,139606,Mais de 100 mil até 200 mil,3,Campinas
3504206,Auriflama,690,RA de Araçatuba,Demais municípios,350420,14471,Mais de 10 mil até 20 mil,7,Araçatuba
3504305,Avaí,688,RA de Bauru,Demais municípios,350430,5288,Mais de 5 mil até 10 mil,12,Bauru
3504404,Avanhandava,690,RA de Araçatuba,Demais municípios,350440,12114,Mais de 10 mil até 20 mil,7,Araçatuba
3504503,Avaré,685,RA de Sorocaba,Demais municípios,350450,87538,Mais de 50 mil até 100 mil,12,Bauru
3504602,Bady Bassitt,689,RA de São José do Rio Preto,RM São José do Rio Preto,350460,16329,Mais de 10 mil até 20 mil,15,São José do Rio Preto
3504701,Balbinos,688,RA de Bauru,Demais municípios,350470,3704,Até 5 mil,12,Bauru
3504800,Bálsamo,689,RA de São José do Rio Preto,RM São José do Rio Preto,350480,8524,Mais de 5 mil até 10 mil,15,São José do Rio Preto
3504909,Bananal,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,350490,10651,Mais de 10 mil até 20 mil,17,Taubaté
3505005,Barão de Antonina,696,RA de Itapeva,Demais municípios,350500,3383,Até 5 mil,12,Bauru
3505104,Barbosa,690,RA de Araçatuba,Demais municípios,350510,7284,Mais de 5 mil até 10 mil,7,Araçatuba
3505203,Bariri,688,RA de Bauru,Demais municípios,350520,33993,Mais de 20 mil até 50 mil,12,Bauru
3505302,Barra Bonita,688,RA de Bauru,Demais municípios,350530,34914,Mais de 20 mil até 50 mil,12,Bauru
3505351,Barra do Chapéu,696,RA de Itapeva,Demais municípios,350535,5530,Mais de 5 mil até 10 mil,6,Sorocaba
3505401,Barra do Turvo,682,RA de Registro,Demais municípios,350540,7687,Mais de 5 mil até 10 mil,9,Registro
3505500,Barretos,694,RA de Barretos,Demais municípios,350550,118048,Mais de 100 mil até 200 mil,16,Barretos
3505609,Barrinha,687,RA de Ribeirão Preto,RM de Ribeirao Preto,350560,32338,Mais de 20 mil até 50 mil,1,Ribeirão Preto
3505708,Barueri,681,RM  de São Paulo,RM de Sao Paulo,350570,264390,Mais de 200 mil até 500 mil,10,Grande São Paulo
3505807,Bastos,692,RA de Marília,Demais municípios,350580,20301,Mais de 20 mil até 50 mil,5,Marília
3505906,Batatais,695,RA de Franca,RM de Ribeirao Preto,350590,60222,Mais de 50 mil até 100 mil,1,Ribeirão Preto
3506003,Bauru,688,RA de Bauru,Demais municípios,350600,364225,Mais de 200 mil até 500 mil,12,Bauru
3506102,Bebedouro,694,RA de Barretos,Demais municípios,350610,74155,Mais de 50 mil até 100 mil,16,Barretos
3506201,Bento de Abreu,690,RA de Araçatuba,Demais municípios,350620,2945,Até 5 mil,7,Araçatuba
3506300,Bernardino de Campos,692,RA de Marília,Demais municípios,350630,10787,Mais de 10 mil até 20 mil,5,Marília
3506359,Bertioga,683,RA de Santos,RM da Baixada Santista,350635,63290,Mais de 50 mil até 100 mil,13,Baixada Santista
3506409,Bilac,690,RA de Araçatuba,Demais municípios,350640,7816,Mais de 5 mil até 10 mil,7,Araçatuba
3506508,Birigui,690,RA de Araçatuba,Demais municípios,350650,121329,Mais de 100 mil até 200 mil,7,Araçatuba
3506607,Biritiba Mirim,681,RM  de São Paulo,RM de Sao Paulo,350660,32338,Mais de 20 mil até 50 mil,10,Grande São Paulo
3506706,Boa Esperança do Sul,693,RA Central,Demais municípios,350670,14582,Mais de 10 mil até 20 mil,8,Araraquara
3506805,Bocaina,688,RA de Bauru,Demais municípios,350680,12135,Mais de 10 mil até 20 mil,12,Bauru
3506904,Bofete,685,RA de Sorocaba,Demais municípios,350690,11076,Mais de 10 mil até 20 mil,12,Bauru
3507001,Boituva,685,RA de Sorocaba,RM de Sorocaba,350700,57292,Mais de 50 mil até 100 mil,6,Sorocaba
3507100,Bom Jesus dos Perdões,686,RA de Campinas,Demais municípios,350710,24291,Mais de 20 mil até 50 mil,3,Campinas
3507159,Bom Sucesso de Itararé,696,RA de Itapeva,Demais municípios,350715,3861,Até 5 mil,6,Sorocaba
3507209,Borá,692,RA de Marília,Demais municípios,350720,812,Até 5 mil,5,Marília
3507308,Boracéia,688,RA de Bauru,Demais municípios,350730,4759,Até 5 mil,12,Bauru
3507407,Borborema,693,RA Central,Demais municípios,350740,15323,Mais de 10 mil até 20 mil,8,Araraquara
3507456,Borebi,688,RA de Bauru,Demais municípios,350745,2579,Até 5 mil,12,Bauru
3507506,Botucatu,685,RA de Sorocaba,Demais municípios,350750,141135,Mais de 100 mil até 200 mil,12,Bauru
3507605,Bragança Paulista,686,RA de Campinas,Demais municípios,350760,163980,Mais de 100 mil até 200 mil,3,Campinas
3507704,Braúna,690,RA de Araçatuba,Demais municípios,350770,5552,Mais de 5 mil até 10 mil,7,Araçatuba
3507753,Brejo Alegre,690,RA de Araçatuba,Demais municípios,350775,2768,Até 5 mil,7,Araçatuba
