Codigo do municipio;Animais_cabecas;Cod_Gecon;Data
3500105;34998;101;2019
3500204;5987;101;2019
3500303;4085;101;2019
3500402;10200;101;2019
3500501;5401;101;2019
3500550;10021;101;2019
3500709;40000;101;2019
3500758;6538;101;2019
3500808;14000;101;2019
3500907;25734;101;2019
3501004;14900;101;2019
3501103;24775;101;2019
3501152;880;101;2019
3501202;42310;101;2019
3501301;45137;101;2019
3501400;13379;101;2019
3501509;5141;101;2019
3501608;60;101;2019
3501707;270;101;2019
3501806;21400;101;2019
3501905;29329;101;2019
3502002;11500;101;2019
3502101;48308;101;2019
3502200;49596;101;2019
3502309;35521;101;2019
3502408;27275;101;2019
3502507;6035;101;2019
3502606;21500;101;2019
3502705;6360;101;2019
3502754;1990;101;2019
3502804;57338;101;2019
3502903;10100;101;2019
3503000;2533;101;2019
3503109;11000;101;2019
3503158;4512;101;2019
3503208;11100;101;2019
3503307;7005;101;2019
3503356;22652;101;2019
3503406;41742;101;2019
3503505;14615;101;2019
3503604;389;101;2019
3503703;593;101;2019
3503802;5056;101;2019
3503901;292;101;2019
3503950;6895;101;2019
3504008;21414;101;2019
3504107;11900;101;2019
3504206;49350;101;2019
3504305;37155;101;2019
3504404;9089;101;2019
3504503;43738;101;2019
3504602;11061;101;2019
3504701;4020;101;2019
3504800;7522;101;2019
3504909;16840;101;2019
3505005;14000;101;2019
3505104;7935;101;2019
3505203;21087;101;2019
3505302;550;101;2019
3505351;2671;101;2019
3505401;9200;101;2019
3505500;43861;101;2019
3505609;300;101;2019
3505807;20137;101;2019
3505906;25000;101;2019
3506003;45327;101;2019
3506102;11850;101;2019
3506201;12297;101;2019
3506300;7901;101;2019
3506409;15807;101;2019
3506508;43025;101;2019
3506607;707;101;2019
3506706;6710;101;2019
3506805;11600;101;2019
3506904;36233;101;2019
3507001;13778;101;2019
3507100;2750;101;2019
3507159;1800;101;2019
3507209;9017;101;2019
3507308;2909;101;2019
3507407;16283;101;2019
3507456;3919;101;2019
3507506;38979;101;2019
3507605;30730;101;2019
3507704;10065;101;2019
3507753;5500;101;2019
3507803;13701;101;2019
3507902;23988;101;2019
3508009;25913;101;2019
3508108;33715;101;2019
3508207;14090;101;2019
3508306;13500;101;2019
3508405;8000;101;2019
3508504;22980;101;2019
3508603;21008;101;2019
3508702;30500;101;2019
3508801;37636;101;2019
3508900;19855;101;2019
3509007;76;101;2019
