Data,Codigo_municipio,area_colhida_em_hectares,quantidade_produzida_em_ton,valor_producao_em_mil_reais
2013,3500501,100,800,306
2014,3500501,100,570,227
2015,3500501,100,650,270
2016,3500501,100,696,464
2021,3500709,100,600,898
2014,3500808,100,345,111
2022,3501509,100,600,576
2022,3502606,100,360,432
2023,3502606,100,401,382
2015,3503356,100,380,171
2020,3503406,100,720,558
2021,3503406,100,620,928
2022,3503406,100,620,876
2013,3504404,100,480,160
2020,3504404,100,360,248
2014,3504800,100,350,182
2015,3504800,100,600,244
2016,3504800,100,600,272
2018,3504800,100,600,312
2019,3504800,100,210,118
2020,3504800,100,540,405
2021,3504800,100,480,600
2013,3506003,100,350,133
2014,3506003,100,600,246
2015,3506003,100,480,197
2016,3506003,100,750,368
2022,3506201,100,720,936
2013,3506805,100,480,217
2014,3506805,100,426,178
2017,3507159,100,750,314
2018,3507159,100,540,313
2019,3507159,100,540,316
2015,3507704,100,480,188
2015,3508306,100,450,154
2013,3508405,100,350,130
2014,3508405,100,200,96
2015,3508405,100,350,158
2016,3508405,100,350,175
2017,3508405,100,480,216
2021,3508405,100,450,669
2022,3508405,100,443,487
2017,3509106,100,672,336
2020,3509106,100,664,863
2021,3509106,100,669,1004
2022,3509106,100,670,972
2023,3509106,100,600,720
2016,3510104,100,320,151
2017,3510104,100,420,224
2015,3510153,100,471,165
2013,3510401,100,360,176
2014,3510401,100,360,140
2015,3510401,100,360,149
2016,3511201,100,480,336
2017,3511201,100,480,224
2018,3511201,100,480,280
2019,3511201,100,448,280
2021,3511201,100,500,750
2017,3511904,100,600,264
2021,3511904,100,600,952
2013,3513108,100,480,191
2014,3513108,100,480,191
2021,3513900,100,720,1050
2022,3513900,100,780,1234
2023,3513900,100,840,672
2019,3514502,100,450,240
2013,3515301,100,326,117
2015,3515301,100,300,98
2016,3515301,100,300,242
2017,3515301,100,360,135
2018,3515301,100,360,138
2019,3515301,100,360,138
2021,3515301,100,325,455
2022,3515301,100,336,501
2023,3515301,100,347,524
2016,3516853,100,478,318
2015,3517000,100,300,160
2016,3517000,100,660,440
2018,3517208,100,480,289
2013,3517307,100,300,135
2014,3517307,100,180,84
2022,3517307,100,350,515
2023,3517307,100,350,525
2016,3519303,100,338,258
2023,3519303,100,415,415
2020,3520442,100,380,310
2021,3520442,100,400,564
2023,3520442,100,411,520
2013,3522653,100,511,236
2014,3522653,100,510,209
2014,3523701,100,420,162
2016,3524600,100,350,137
2017,3524600,100,350,210
2020,3524808,100,600,448
2020,3525805,100,420,357
2021,3525805,100,600,600
2015,3525904,100,420,202
2015,3526001,100,480,172
2021,3526803,100,360,558
2022,3526803,100,300,422
2016,3526902,100,720,353
2017,3526902,100,720,308
2018,3526902,100,725,355
2013,3527801,100,240,106
2013,3528858,100,420,143
2014,3528858,100,420,152
2015,3528858,100,420,168
2016,3528858,100,420,294
2017,3528858,100,420,196
2018,3528858,100,420,252
2019,3528858,100,420,263
2020,3528858,100,600,500
2021,3528858,100,450,675
2022,3528858,100,700,1120
2023,3528858,100,700,933
2017,3528908,100,420,184
2018,3528908,100,420,180
2019,3528908,100,380,165
2020,3528908,100,420,189
2022,3528908,100,420,609
2023,3528908,100,420,609
2021,3530409,100,360,511
2022,3530409,100,480,720
2023,3530409,100,600,780
2016,3531001,100,444,329
2019,3531506,100,420,227
2020,3531506,100,600,445
2022,3532058,100,500,698
2018,3532108,100,480,320
2015,3532843,100,480,204
2016,3532843,100,480,240
2013,3533106,100,350,130
2014,3533106,100,240,104
2015,3533106,100,240,86
2016,3533106,100,240,153
2019,3533700,100,314,133
2019,3534203,100,450,261
2020,3534203,100,800,800
2019,3534302,100,360,181
2020,3534302,100,360,291
2021,3534302,100,300,467
2013,3535101,100,420,143
2014,3535101,100,210,76
2015,3535101,100,360,144
2016,3535101,100,480,336
2017,3535101,100,480,208
2014,3535200,100,300,145
2015,3535200,100,300,128
2016,3535200,100,300,150
2017,3535200,100,380,190
2018,3535200,100,300,150
2020,3535408,100,300,249
2016,3535705,100,480,336
2017,3535705,100,480,224
2014,3535903,100,360,147
2016,3535903,100,600,460
2019,3535903,100,485,265
2019,3536208,100,350,193
2020,3536208,100,350,263
2021,3536208,100,350,350
2022,3536208,100,350,420
2023,3536208,100,350,490
2021,3536901,100,750,1125
2016,3538105,100,528,366
2017,3538105,100,540,261
2021,3538105,100,500,750
2022,3538105,100,600,960
2023,3538105,100,600,800
2014,3540259,100,360,147
2021,3540309,100,600,875
2022,3540309,100,600,853
2018,3540408,100,600,360
2019,3540408,100,360,197
2016,3540507,100,640,384
2017,3542008,100,510,324
2023,3542107,100,500,583
2013,3542800,100,580,268
2022,3542800,100,580,783
2018,3542909,100,780,508
2019,3542909,100,780,508
2020,3542909,100,780,722
2021,3542909,100,780,1303
2023,3542909,100,600,600
2023,3543709,100,447,453
2022,3544707,100,317,486
2019,3545159,100,500,250
2013,3545605,100,360,122
2014,3545605,100,252,91
2015,3545605,100,360,144
2017,3545605,100,360,168
2014,3546108,100,420,203
2013,3546256,100,360,143
2014,3546256,100,360,143
2017,3547106,100,360,133
2022,3547106,100,300,405
2015,3547403,100,420,179
2017,3547403,100,378,189
2018,3547403,100,420,210
2020,3547403,100,450,345
2016,3548302,100,510,412
2015,3548609,100,300,123
2016,3548609,100,300,124
2017,3548609,100,300,125
2018,3548609,100,300,204
2023,3548609,100,450,630
2021,3549250,100,300,458
2021,3549805,100,700,994
2013,3552007,100,416,217
2014,3552007,100,416,155
2015,3552007,100,416,150
2016,3552007,100,416,201
2016,3552601,100,694,486
2018,3552601,100,620,413
2015,3552908,100,420,137
2019,3553104,100,420,226
2020,3553104,100,600,445
2021,3553104,100,600,882
2014,3553906,100,396,147
2015,3553906,100,366,120
2016,3553906,100,443,358
2017,3553906,100,343,128
2018,3553906,100,343,138
2019,3553906,100,343,138
2013,3554409,100,600,226
2014,3554409,100,480,192
2015,3554409,100,600,240
2016,3554409,100,600,412
2020,3554409,100,480,356
2021,3554409,100,480,714
2022,3554409,100,600,830
2023,3554409,100,600,860
2013,3555505,100,350,120
2020,3555802,100,360,269
2021,3555802,100,520,625
2015,3555901,100,300,110
2013,3556206,100,450,144
2015,3556206,100,450,166
2013,3556800,100,600,226
2014,3556800,100,480,192
2015,3556800,100,600,243
2016,3556800,100,600,412
2018,3556800,100,600,332
2019,3556800,100,480,258
2016,3556909,100,360,172
2019,3556909,100,500,300
2020,3556909,100,500,450
2015,3556958,100,600,227
2022,3556958,100,540,729
2013,3557204,100,480,164
2014,3557204,100,470,179
2022,3557303,100,750,1054
2020,3500105,200,920,415
2022,3500105,200,889,1200
2023,3500105,200,879,1301
2017,3500808,200,465,206
2020,3501103,200,1200,774
2021,3501152,200,1000,710
2023,3501152,200,1560,2106
2021,3501400,200,600,600
2013,3501509,200,840,370
2023,3501806,200,1200,1233
2013,3502606,200,1080,500
2017,3502606,200,760,380
2013,3503604,200,720,266
2021,3504404,200,1008,1600
2019,3506904,200,795,469
2020,3506904,200,795,469
2020,3507704,200,1056,772
2019,3508207,200,1200,605
2020,3508207,200,1200,976
2021,3508207,200,1020,1578
2017,3509304,200,1200,486
2015,3509403,200,720,353
2016,3509403,200,720,376
2018,3509403,200,1200,600
2021,3510005,200,1608,2150
2013,3510906,200,600,239
2020,3511201,200,900,750
