cod_ibge,periodos,leitos_total,leitos_hab,leitos_sus,leitos_sus_hab,leitos_nao_sus,leitos_naosus_hab
3500105,2010,308,"9,1",271,8,37,"1,1"
3500204,2010,0,0,0,0,0,0
3500303,2010,76,"2,4",49,"1,5",27,"0,8"
3500402,2010,0,0,0,0,0,0
3500501,2010,42,"2,4",30,"1,7",12,"0,7"
3500550,2010,0,0,0,0,0,0
3500600,2010,0,0,0,0,0,0
3500709,2010,65,"1,9",43,"1,2",22,"0,6"
3500758,2010,0,0,0,0,0,0
3500808,2010,0,0,0,0,0,0
3500907,2010,0,0,0,0,0,0
3501004,2010,30,"1,9",21,"1,3",9,"0,6"
3501103,2010,22,"5,4",19,"4,6",3,"0,7"
3501152,2010,0,0,0,0,0,0
3501202,2010,0,0,0,0,0,0
3501301,2010,20,"0,9",18,"0,8",2,"0,1"
3501400,2010,0,0,0,0,0,0
3501509,2010,0,0,0,0,0,0
3501608,2010,619,"2,9",388,"1,8",231,"1,1"
3501707,2010,240,7,240,7,0,0
3501806,2010,0,0,0,0,0,0
3501905,2010,454,"6,9",356,"5,4",98,"1,5"
3502002,2010,0,0,0,0,0,0
3502101,2010,100,"1,8",64,"1,2",36,"0,7"
3502200,2010,57,"2,6",54,"2,4",3,"0,1"
3502309,2010,0,0,0,0,0,0
3502408,2010,0,0,0,0,0,0
3502507,2010,84,"2,4",50,"1,4",34,1
3502606,2010,30,"6,7",8,"1,8",22,"4,9"
3502705,2010,52,"2,1",46,"1,8",6,"0,2"
3502754,2010,4,"0,2",0,0,4,"0,2"
3502804,2010,660,"3,6",495,"2,7",165,"0,9"
3502903,2010,0,0,0,0,0,0
3503000,2010,0,0,0,0,0,0
3503109,2010,16,"2,6",16,"2,6",0,0
3503158,2010,0,0,0,0,0,0
3503208,2010,504,"2,4",238,"1,1",266,"1,3"
3503307,2010,1137,"9,6",539,"4,5",598,5
3503356,2010,0,0,0,0,0,0
3503406,2010,24,"3,1",22,"2,8",2,"0,3"
3503505,2010,0,0,0,0,0,0
3503604,2010,0,0,0,0,0,0
3503703,2010,25,"2,9",4,"0,5",21,"2,5"
3503802,2010,56,"1,3",0,0,56,"1,3"
3503901,2010,76,1,9,"0,1",67,"0,9"
3503950,2010,0,0,0,0,0,0
3504008,2010,346,"3,6",181,"1,9",165,"1,7"
3504107,2010,187,"1,5",48,"0,4",139,"1,1"
3504206,2010,51,"3,6",30,"2,1",21,"1,5"
3504305,2010,0,0,0,0,0,0
3504404,2010,0,0,0,0,0,0
3504503,2010,153,"1,8",95,"1,1",58,"0,7"
3504602,2010,0,0,0,0,0,0
3504701,2010,0,0,0,0,0,0
3504800,2010,0,0,0,0,0,0
3504909,2010,15,"1,5",15,"1,5",0,0
3505005,2010,0,0,0,0,0,0
3505104,2010,0,0,0,0,0,0
3505203,2010,68,"2,2",52,"1,6",16,"0,5"
3505302,2010,101,"2,9",68,"1,9",33,"0,9"
3505351,2010,0,0,0,0,0,0
3505401,2010,0,0,0,0,0,0
3505500,2010,577,"5,2",457,"4,1",120,"1,1"
3505609,2010,29,1,29,1,0,0
3505708,2010,465,"1,9",382,"1,6",83,"0,3"
3505807,2010,61,3,57,"2,8",4,"0,2"
3505906,2010,139,"2,5",90,"1,6",49,"0,9"
3506003,2010,1148,"3,3",802,"2,3",346,1
3506102,2010,123,"1,6",75,1,48,"0,6"
3506201,2010,0,0,0,0,0,0
3506300,2010,50,"4,6",16,"1,5",34,"3,2"
3506359,2010,51,"1,1",51,"1,1",0,0
3506409,2010,30,"4,3",12,"1,7",18,"2,6"
3506508,2010,251,"2,3",170,"1,6",81,"0,7"
3506607,2010,14,"0,5",14,"0,5",0,0
3506706,2010,15,"1,1",13,1,2,"0,1"
3506805,2010,35,"3,2",30,"2,8",5,"0,5"
3506904,2010,0,0,0,0,0,0
3507001,2010,58,"1,2",42,"0,9",16,"0,3"
3507100,2010,11,"0,6",11,"0,6",0,0
3507159,2010,0,0,0,0,0,0
3507209,2010,0,0,0,0,0,0
3507308,2010,0,0,0,0,0,0
3507407,2010,26,"1,8",16,"1,1",10,"0,7"
3507456,2010,0,0,0,0,0,0
3507506,2010,713,"5,6",590,"4,6",123,1
3507605,2010,326,"2,2",192,"1,3",134,"0,9"
3507704,2010,0,0,0,0,0,0
3507753,2010,0,0,0,0,0,0
3507803,2010,0,0,0,0,0,0
3507902,2010,41,"1,9",35,"1,6",6,"0,3"
3508009,2010,0,0,0,0,0,0
3508108,2010,36,"2,3",22,"1,4",14,"0,9"
3508207,2010,0,0,0,0,0,0
3508306,2010,0,0,0,0,0,0
3508405,2010,36,"0,9",28,"0,7",8,"0,2"
3508504,2010,123,"1,5",67,"0,8",56,"0,7"
3508603,2010,47,"1,6",40,"1,3",7,"0,2"
3508702,2010,75,4,64,"3,5",11,"0,6"
3508801,2010,58,"3,5",47,"2,8",11,"0,7"
3508900,2010,0,0,0,0,0,0
3509007,2010,91,"1,1",29,"0,3",62,"0,7"
3509106,2010,0,0,0,0,0,0
3509205,2010,71,"1,1",71,"1,1",0,0
3509254,2010,13,"0,5",13,"0,5",0,0
3509304,2010,32,"3,3",26,"2,7",6,"0,6"
3509403,2010,68,"2,9",50,"2,1",18,"0,8"
3509452,2010,0,0,0,0,0,0
3509502,2010,2764,"2,6",1407,"1,3",1357,"1,3"
3509601,2010,44,"0,6",44,"0,6",0,0
3509700,2010,444,"9,3",322,"6,7",122,"2,6"
3509809,2010,0,0,0,0,0,0
3509908,2010,0,0,0,0,0,0
3509957,2010,0,0,0,0,0,0
3510005,2010,50,"1,7",40,"1,3",10,"0,3"
3510104,2010,0,0,0,0,0,0
3510153,2010,0,0,0,0,0,0
3510203,2010,100,"2,2",75,"1,6",25,"0,5"
3510302,2010,0,0,0,0,0,0
3510401,2010,119,"2,5",58,"1,2",61,"1,3"
3510500,2010,160,"1,6",122,"1,2",38,"0,4"
3510609,2010,271,"0,7",228,"0,6",43,"0,1"
3510708,2010,31,"2,6",18,"1,5",13,"1,1"
3510807,2010,457,"16,2",440,"15,6",17,"0,6"
3510906,2010,0,0,0,0,0,0
3511003,2010,46,"2,6",30,"1,7",16,"0,9"
3511102,2010,575,"5,1",425,"3,8",150,"1,3"
3511201,2010,0,0,0,0,0,0
3511300,2010,0,0,0,0,0,0
3511409,2010,42,"2,4",33,"1,9",9,"0,5"
3511508,2010,39,1,31,"0,8",8,"0,2"
3511607,2010,30,"1,9",17,"1,1",13,"0,8"
3511706,2010,33,"2,2",26,"1,7",7,"0,5"
3511904,2010,30,"4,3",20,"2,8",10,"1,4"
3512001,2010,47,"2,7",40,"2,3",7,"0,4"
3512100,2010,20,"3,3",20,"3,3",0,0
3512209,2010,60,"2,4",44,"1,7",16,"0,6"
3512308,2010,44,"2,7",37,"2,3",7,"0,4"
3512407,2010,0,0,0,0,0,0
3512506,2010,0,0,0,0,0,0
3512605,2010,0,0,0,0,0,0
3512704,2010,0,0,0,0,0,0
3512803,2010,90,"1,5",61,1,29,"0,5"
3512902,2010,0,0,0,0,0,0
3513009,2010,240,"1,2",176,"0,9",64,"0,3"
3513108,2010,23,"0,7",23,"0,7",0,0
3513207,2010,0,0,0,0,0,0
3513306,2010,0,0,0,0,0,0
3513405,2010,152,2,107,"1,4",45,"0,6"
3513504,2010,150,"1,3",134,"1,1",16,"0,1"
3513603,2010,40,"1,8",24,"1,1",16,"0,7"
3513702,2010,57,"1,8",23,"0,7",34,"1,1"
