cod_ibge7;municipio;porte;ra;ano;prest_a;natjur_a;in023;in049;in051;in053
3500105;Adamantina;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;23,77;132,27;12,7
3500204;Adolfo;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;10,8;47,76;11,86
3500402;Águas da Prata;Mais de 5 mil a 10 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;37,66;230,07;11,24
3500501;Águas de Lindóia;Mais de 10 mil a 20 mil;RA Campinas;2018;Saneamento Ambiental de Águas de Lindóia;Autarquia;100;42,16;414,9;13,45
3500550;Águas de Santa Bárbara;Mais de 5 mil a 10 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;98,37;39,3;246,1;11,4
3500600;Águas de São Pedro;Até 5 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;97,19;40,51;398,13;16,43
3500709;Agudos;Mais de 20 mil a 50 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;28,72;196,43;14,45
3500758;Alambari;Mais de 5 mil a 10 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;36,08;220,48;11,72
3500808;Alfredo Marcondes;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;11,37;50,39;11,82
3500907;Altair;Até 5 mil;RA Barretos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;9,29;41,23;12,16
3501004;Altinópolis;Mais de 10 mil a 20 mil;RA Ribeirão Preto;2018;Prefeitura Municipal de Altinópolis;Administração pública direta;100;38,6;336,65;16,29
3501103;Alto Alegre;Até 5 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;18,42;84,18;11,22
3501152;Alumínio;Mais de 10 mil a 20 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;84,78;35,97;266,1;13,5
3501202;Álvares Florence;Até 5 mil;RA São José do Rio Preto;2018;Datema Ambiental Saneamento Básico LTDA;Empresa privada;100;10,13;49,35;13,3
3501301;Álvares Machado;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;19,01;100,37;12,23
3501400;Álvaro de Carvalho;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;99;19,02;86,73;11,23
3501509;Alvinlândia;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;23,84;119,29;11,32
3501608;Americana;Mais de 100 mil a 500 mil;RA Campinas;2018;Departamento de Água e Esgoto de Americana;Autarquia;100;48,81;468,35;11,15
3501707;Américo Brasiliense;Mais de 20 mil a 50 mil;RA Central;2018;Prefeitura Municipal de Américo Brasiliense;Administração pública direta;99,76;8,22;57,47;17,52
3501806;Américo de Campos;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Américo de Campos;Administração pública direta;99,98;4,98;25,42;14,75
3501905;Amparo;Mais de 50 mil a 100 mil;RA Campinas;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;54,49;489,33;11,35
3502101;Andradina;Mais de 50 mil a 100 mil;RA Araçatuba;2018;Águas de Andradina;Empresa privada;98,61;31,32;202,65;12,74
3502200;Angatuba;Mais de 20 mil a 50 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,07;182,1;11,05
3502309;Anhembi;Mais de 5 mil a 10 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;45,51;280,09;10,15
3502408;Anhumas;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;8,84;38,99;12,01
3502507;Aparecida;Mais de 20 mil a 50 mil;RA São José dos Campos;2018;Serviço Autônomo de Água e Esgotos e Resíduos Sólidos;Autarquia;100;53,07;675,49;16,51
3502606;Aparecida d'Oeste;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,87;87,11;12,09
3502705;Apiaí;Mais de 20 mil a 50 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;30,08;153,45;10,69
3502754;Araçariguama;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;60,3;20,43;109,84;12,5
3502804;Araçatuba;Mais de 100 mil a 500 mil;RA Araçatuba;2018;Soluções Ambientais de Araçatuba S.A.;Empresa privada;100;37,94;317,17;13,04
3502903;Araçoiaba da Serra;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Águas de Araçoiaba;Empresa privada;100;28,75;169,47;11,68
3503109;Arandu;Mais de 5 mil a 10 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;86,96;34,13;210,75;12,3
3503158;Arapeí;Até 5 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;19,8;75,43;8,73
3503208;Araraquara;Mais de 100 mil a 500 mil;RA Central;2018;Departamento Autônomo de Água e Esgotos;Autarquia;99,39;49,93;438,15;12,51
3503307;Araras;Mais de 100 mil a 500 mil;RA Campinas;2018;Serviço de Água, Esgoto e Meio Ambiente do Município de Araras;Autarquia;100;54,4;578,03;12,6
3503356;Arco-Íris;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;7,88;31,5;11,13
3503406;Arealva;Mais de 5 mil a 10 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;87,82;17,9;90,41;12,34
3503505;Areias;Até 5 mil;RA São José dos Campos;2018;Prefeitura Municipal de Areias;Administração pública direta;100;0,09;1,14;37,99
3503604;Areiópolis;Mais de 10 mil a 20 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24,61;138,71;12,24
3503802;Artur Nogueira;Mais de 50 mil a 100 mil;RA Campinas;2018;Serviço de Água e Esgoto de Artur Nogueira;Autarquia;100;30,04;206,84;14,57
3503901;Arujá;Mais de 50 mil a 100 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,02;234,45;12,07
3503950;Aspásia;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,89;78,99;11,7
3504008;Assis;Mais de 100 mil a 500 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;22,92;128,82;12,43
3504107;Atibaia;Mais de 100 mil a 500 mil;RA Campinas;2018;Saneamento Ambiental de Atibaia;Empresa pública;96,67;44,23;367,28;12,84
3504206;Auriflama;Mais de 10 mil a 20 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;12,67;60,94;12,36
3504305;Avaí;Até 5 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;93,04;16,72;78,33;11,73
3504404;Avanhandava;Mais de 10 mil a 20 mil;RA Araçatuba;2018;Departamento de Água e Esgoto de Avanhandava;Autarquia;100;36,42;243,62;12,94
3504503;Avaré;Mais de 50 mil a 100 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;34,39;204,02;11,37
3504701;Balbinos;Até 5 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,69;70,81;10,72
3504800;Bálsamo;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Bálsamo;Administração pública direta;100;18,09;110,63;15,24
3504909;Bananal;Mais de 5 mil a 10 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;97,26;23,89;107,87;10,04
3505005;Barão de Antonina;Até 5 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33;159,06;9,61
3505104;Barbosa;Mais de 5 mil a 10 mil;RA Araçatuba;2018;Prefeitura Municipal de Barbosa;Administração pública direta;99,79;11,99;48,57;10,81
3505203;Bariri;Mais de 20 mil a 50 mil;RA Bauru;2018;Serviço de Água e Esgoto do Município de Bariri;Autarquia;100;23,67;152,21;14,86
